Ensaio	Data	Ordem	Rep	Bloco	Poligono	Linha	Pos/linha	Codigo	t	Alt (m)	Dap (cm)	Cod_Med
353	24-Nov-14	1	1872	1	1	1	1	82405	3.0	7.3		1
353	24-Nov-14	2	1872	1	1	1	2	102140061	3.0			3
353	24-Nov-14	3	1872	1	1	1	3	9999	3.0			1
353	24-Nov-14	4	1872	1	1	1	4	102115061	3.0	7.8		1
353	24-Nov-14	5	1872	1	1	1	5	85005	3.0	5.9		1
353	24-Nov-14	6	1872	1	1	1	6	102106061	3.0	6.7		1
353	24-Nov-14	7	1872	1	1	1	7	1206	3.0	5.9		1
353	24-Nov-14	8	1872	1	1	1	8	9999	3.0			0
353	24-Nov-14	9	1872	1	1	1	9	100826049	3.0	5.4		1
353	24-Nov-14	10	1872	1	1	1	10	102147061	3.0	1.8		1
353	24-Nov-14	11	1872	1	1	1	11	102120061	3.0	6.8		1
353	24-Nov-14	12	1872	1	1	1	12	7038	3.0	6.3		1
353	24-Nov-14	13	1872	1	1	1	13	77408	3.0	5.9		1
353	24-Nov-14	14	1872	1	1	1	14	102041039	3.0	7.4		1
353	24-Nov-14	15	1872	1	1	1	15	82241	3.0	5.2		1
353	24-Nov-14	16	1872	1	1	1	16	100834009	3.0	8.6		1
353	24-Nov-14	17	1872	1	1	1	17	100109021	3.0	7.0		1
353	24-Nov-14	18	1872	1	1	1	18	77191	3.0	8.4		1
353	24-Nov-14	19	1872	1	1	2	1	102142061	3.0	6.0		1
353	24-Nov-14	20	1872	1	1	2	2	77422	3.0	5.6		1
353	24-Nov-14	21	1872	1	1	2	3	82243	3.0	6.1		1
353	24-Nov-14	22	1872	1	1	2	4	77010	3.0	7.2		1
353	24-Nov-14	23	1872	1	1	2	5	102041031	3.0	7.7		1
353	24-Nov-14	24	1872	1	1	2	6	100850028	3.0	6.4		1
353	24-Nov-14	25	1872	1	1	2	7	100126020	3.0	6.7		1
353	24-Nov-14	26	1872	1	1	2	8	102064011	3.0	5.8		1
353	24-Nov-14	27	1872	1	1	2	9	77052	3.0	7.0		1
353	24-Nov-14	28	1872	1	1	2	10	9999	3.0			1
353	24-Nov-14	29	1872	1	1	2	11	100830008	3.0	5.4		1
353	24-Nov-14	30	1872	1	1	2	12	102108061	3.0	5.9		1
353	24-Nov-14	31	1872	1	1	2	13	85003	3.0	2.4		1
353	24-Nov-14	32	1872	1	1	2	14	82465	3.0	6.8		1
353	24-Nov-14	33	1872	1	1	2	15	102110062	3.0	7.8		1
353	24-Nov-14	34	1872	1	1	2	16	1088	3.0	6.4		1
353	24-Nov-14	35	1872	1	1	2	17	100966061	3.0	7.5		1
353	24-Nov-14	36	1872	1	1	2	18	77368	3.0	7.5		1
353	24-Nov-14	37	1872	1	1	2	19	83507	3.0	7.5		1
353	24-Nov-14	38	1872	1	1	3	1	85002	3.0	5.2		1
353	24-Nov-14	39	1872	1	1	3	2	82204	3.0	4.1		1
353	24-Nov-14	40	1872	1	1	3	3	100074002	3.0	7.8		1
353	24-Nov-14	41	1872	1	1	3	4	77013	3.0	6.5		1
353	24-Nov-14	42	1872	1	1	3	5	102122163	3.0	7.9		1
353	24-Nov-14	43	1872	1	1	3	6	77352	3.0	4.5		1
353	24-Nov-14	44	1872	1	1	3	7	77455	3.0	4.6		1
353	24-Nov-14	45	1872	1	1	3	8	102145060	3.0	3.6		1
353	24-Nov-14	46	1872	1	1	3	9	1113	3.0	6.3		1
353	24-Nov-14	47	1872	1	1	3	10	100890020	3.0	5.7		1
353	24-Nov-14	48	1872	1	1	3	11	77000	3.0	5.9		1
353	24-Nov-14	49	1872	1	1	3	12	85000	3.0			4
353	24-Nov-14	50	1872	1	1	3	13	85006	3.0	2.1		1
353	24-Nov-14	51	1872	1	1	3	14	100170003	3.0	6.9		1
353	24-Nov-14	52	1872	1	1	3	15	100785018	3.0	6.3		1
353	24-Nov-14	53	1872	1	1	3	16	102109157	3.0	7.0		1
353	24-Nov-14	54	1872	1	1	3	17	100840012	3.0	6.7		1
353	24-Nov-14	55	1872	1	1	3	18	102051028	3.0	7.9		1
353	24-Nov-14	56	1872	1	1	3	19	100942016	3.0	7.3		1
353	24-Nov-14	57	1872	1	1	4	1	100169022	3.0	5.7		1
353	24-Nov-14	58	1872	1	1	4	2	102146062	3.0	5.4		1
353	24-Nov-14	59	1873	1	1	4	3	100826049	3.0	7.8		1
353	24-Nov-14	60	1873	1	1	4	4	102041031	3.0	8.2		1
353	24-Nov-14	61	1873	1	1	4	5	100850028	3.0	7.8		1
353	24-Nov-14	62	1873	1	1	4	6	100126020	3.0	8.2		1
353	24-Nov-14	63	1873	1	1	4	7	1113	3.0	8.0		1
353	24-Nov-14	64	1873	1	1	4	8	100840012	3.0	7.8		1
353	24-Nov-14	65	1873	1	1	4	9	100170003	3.0	5.5		1
353	24-Nov-14	66	1873	1	1	4	10	77352	3.0	3.4		1
353	24-Nov-14	67	1873	1	1	4	11	77191	3.0	4.4		1
353	24-Nov-14	68	1873	1	1	4	12	102143061	3.0			4
353	24-Nov-14	69	1873	1	1	4	13	82243	3.0	5.2		1
353	24-Nov-14	70	1873	1	1	4	14	77451	3.0	4.7		1
