Ensaio	Data	Ordem	Rep	Bloco	Poligono	Linha	Pos/linha	Codigo	t	Alt (m)	Dap (cm)	Cod_Med
369	10/1/2015 0:00:00	1	1800	1	2	1	1	100931010	2.4	7.0		1
369	10/1/2015 0:00:00	2	1800	1	2	1	2	100021014	2.4	5.9		1
369	10/1/2015 0:00:00	3	1800	1	2	1	3	102009024	2.4	4.7		1
369	10/1/2015 0:00:00	4	1800	1	2	1	4	102057003	2.4	7.5		1
369	10/1/2015 0:00:00	5	1800	1	2	1	5	100895015	2.4	5.4		1
369	10/1/2015 0:00:00	6	1800	1	2	1	6	100890020	2.4	7.3		1
369	10/1/2015 0:00:00	7	1800	1	2	1	7	102036019	2.4	7.6		1
369	10/1/2015 0:00:00	8	1800	1	2	1	8	100894035	2.4	6.1		1
369	10/1/2015 0:00:00	9	1800	1	2	1	9	1076	2.4	6.9		1
369	10/1/2015 0:00:00	10	1800	1	2	2	1	100856028	2.4	6.7		1
369	10/1/2015 0:00:00	11	1800	1	2	2	2	100820038	2.4	7.4		1
369	10/1/2015 0:00:00	12	1800	1	2	2	3	100758030	2.4	6.9		1
369	10/1/2015 0:00:00	13	1800	1	2	2	4	9999	2.4			1
369	10/1/2015 0:00:00	14	1800	1	2	2	5	100984048	2.4	6.2		1
369	10/1/2015 0:00:00	15	1800	1	2	2	6	102041041	2.4	8.3		1
369	10/1/2015 0:00:00	16	1800	1	2	2	7	100822004	2.4	7.5		1
369	10/1/2015 0:00:00	17	1800	1	2	2	8	102038014	2.4	5.0		1
369	10/1/2015 0:00:00	18	1800	1	2	2	9	100175018	2.4	4.8		1
369	10/1/2015 0:00:00	19	1800	1	2	2	10	200833041	2.4	7.4		1
369	10/1/2015 0:00:00	20	1800	1	2	2	11	100890050	2.4	7.2		1
369	10/1/2015 0:00:00	21	1800	1	2	2	12	100867013	2.4	6.3		1
369	10/1/2015 0:00:00	22	1800	1	2	3	1	102051028	2.4			7
369	10/1/2015 0:00:00	23	1800	1	2	3	2	100757039	2.4	5.3		1
369	10/1/2015 0:00:00	24	1800	1	2	3	3	100971071	2.4	8.9		1
369	10/1/2015 0:00:00	25	1800	1	2	3	4	100929016	2.4	5.0		1
369	10/1/2015 0:00:00	26	1800	1	2	3	5	100984059	2.4	5.0		1
369	10/1/2015 0:00:00	27	1800	1	2	3	6	1233	2.4	7.5		1
369	10/1/2015 0:00:00	28	1800	1	2	3	7	1552	2.4	6.6		1
369	10/1/2015 0:00:00	29	1800	1	2	3	8	100865034	2.4	6.3		1
369	10/1/2015 0:00:00	30	1800	1	2	3	9	100827037	2.4	6.2		1
369	10/1/2015 0:00:00	31	1800	1	2	3	10	100942001	2.4	7.0		1
369	10/1/2015 0:00:00	32	1800	1	2	3	11	102064020	2.4	6.5		1
369	10/1/2015 0:00:00	33	1800	1	2	3	12	100971031	2.4	7.2		1
369	10/1/2015 0:00:00	34	1800	1	2	3	13	100840012	2.4	8.3		1
369	10/1/2015 0:00:00	35	1800	1	2	3	14	100830025	2.4	7.6		1
369	10/1/2015 0:00:00	36	1800	1	2	3	15	100850006	2.4	7.3		1
369	10/1/2015 0:00:00	37	1800	1	2	3	16	100170003	2.4	6.6		1
369	10/1/2015 0:00:00	38	1800	1	2	3	17	1513	2.4	6.4		1
369	10/1/2015 0:00:00	39	1800	1	2	3	18	102084003	2.4	7.0		1
369	10/1/2015 0:00:00	40	1800	1	2	4	1	100850028	2.4	8.0		1
369	10/1/2015 0:00:00	41	1800	1	2	4	2	100006009	2.4	7.1		1
369	10/1/2015 0:00:00	42	1800	1	2	4	3	100830008	2.4	7.1		1
369	10/1/2015 0:00:00	43	1800	1	2	4	4	100865051	2.4	7.7		1
369	10/1/2015 0:00:00	44	1800	1	2	4	5	102053012	2.4	7.5		1
369	10/1/2015 0:00:00	45	1800	1	2	4	6	100961001	2.4	7.3		1
369	10/1/2015 0:00:00	46	1800	1	2	4	7	100984021	2.4	7.4		1
369	10/1/2015 0:00:00	47	1800	1	2	4	8	101462016	2.4	7.1		1
369	10/1/2015 0:00:00	48	1800	1	2	4	9	100841194	2.4	7.5		1
369	10/1/2015 0:00:00	49	1800	1	2	4	10	100942008	2.4	5.8		1
369	10/1/2015 0:00:00	50	1800	1	2	4	11	100759037	2.4	5.5		1
369	10/1/2015 0:00:00	51	1800	1	2	4	12	100192014	2.4	7.1		1
369	10/1/2015 0:00:00	52	1800	1	2	4	13	100840032	2.4	4.6		1
369	10/1/2015 0:00:00	53	1800	1	2	4	14	100036004	2.4	4.8		1
369	10/1/2015 0:00:00	54	1800	1	2	4	15	100942016	2.4	4.4		1
369	10/1/2015 0:00:00	55	1800	1	2	4	16	100109018	2.4	6.6		1
369	10/1/2015 0:00:00	56	1800	1	2	4	17	100856015	2.4	6.8		1
369	10/1/2015 0:00:00	57	1800	1	2	4	18	100749031	2.4	4.8		1
369	10/1/2015 0:00:00	58	1800	1	2	4	19	100940023	2.4	6.6		1
369	10/1/2015 0:00:00	59	1800	1	2	4	20	102041039	2.4			7
369	10/1/2015 0:00:00	60	1800	1	2	4	21	1214	2.4	5.1		1
369	10/1/2015 0:00:00	61	1800	1	2	5	1	100830093	2.4	6.1		1
369	10/1/2015 0:00:00	62	1800	1	2	5	2	102036054	2.4	5.0		1
369	10/1/2015 0:00:00	63	1800	1	2	5	3	100856026	2.4	6.3		1
369	10/1/2015 0:00:00	64	1800	1	2	5	4	200833037	2.4	7.1		1
369	10/1/2015 0:00:00	65	1800	1	2	5	5	100788037	2.4	7.8		1
